elec gen by gen tech
scenario,region,subsector,output,technology,1990,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2065,2080,2095,Units,
"CalRef,date=2025-21-3T15:37:17-06:00",Africa_Northern,geothermal,electricity,geothermal,0.0,0.0,0.0,0.0,0.00833994,0.0185435,0.0323752,0.046103,0.0576413,0.06582,0.068005,0.0,0.0,0.0,EJ,
"CalRef,date=2025-21-3T15:37:17-06:00",Africa_Northern,hydro,electricity,hydro,0.0408229,0.0516283,0.0603252,0.0564102,0.0615764,0.0667426,0.0719089,0.0770751,0.0822413,0.0874075,0.0925738,0.0,0.0,0.0,EJ,
"CalRef,date=2025-21-3T15:37:17-06:00",Africa_Northern,nuclear,electricity,Gen_III,0.0,0.0,0.0,0.0,9.47753E-4,0.00604696,0.0173223,0.0338115,0.0522731,0.0720553,0.0918211,0.0,0.0,0.0,EJ,
"CalRef,date=2025-21-3T15:37:17-06:00",Africa_Northern,refined liquids,electricity,refined liquids (CC),0.0,0.0,0.0,0.0,0.0499639,0.0742364,0.132313,0.198664,0.267344,0.333488,0.406086,0.0,0.0,0.0,EJ,
"CalRef,date=2025-21-3T15:37:17-06:00",Africa_Northern,refined liquids,electricity,refined liquids (steam/CT),0.117711,0.127327,0.157278,0.214315,0.162359,0.156058,0.156247,0.155747,0.155142,0.152204,0.158445,0.0,0.0,0.0,EJ,
"CalRef,date=2025-21-3T15:37:17-06:00",Africa_Northern,rooftop_pv,elect_td_bld,rooftop_pv,0.0,0.0,0.0,0.0,0.031452,0.136251,0.242004,0.329696,0.408547,0.481264,0.563082,0.0,0.0,0.0,EJ,
"CalRef,date=2025-21-3T15:37:17-06:00",Africa_Northern,solar,electricity,CSP,0.0,0.0,0.0,1.44014E-5,1.44014E-5,1.44014E-5,1.44014E-5,1.44014E-5,1.44014E-5,0.0,0.0,0.0,0.0,0.0,EJ,
"CalRef,date=2025-21-3T15:37:17-06:00",Africa_Northern,solar,electricity,CSP_storage,0.0,0.0,0.0,0.0,3.07717E-6,1.5144E-5,6.856E-5,2.30551E-4,6.08869E-4,0.00132295,0.00243008,0.0,0.0,0.0,EJ,
"CalRef,date=2025-21-3T15:37:17-06:00",Africa_Northern,solar,electricity,PV,0.0,7.19925E-6,7.67546E-4,0.00108061,0.013558110000000002,0.045164510000000005,0.11340811,0.20477021,0.30850621,0.41640859999999996,0.5073941,0.0,0.0,0.0,EJ,
"CalRef,date=2025-21-3T15:37:17-06:00",Africa_Northern,solar,electricity,PV_storage,0.0,0.0,0.0,0.0,8.21877E-6,2.6884770000000002E-5,9.302557E-5,2.7763257E-4,7.0134457E-4,0.00151652357,0.0028112448000000003,0.0,0.0,0.0,EJ,
"CalRef,date=2025-21-3T15:37:17-06:00",Africa_Northern,wind,electricity,wind,0.0,0.0028798,0.00826522,0.0181619,0.0429894,0.0764175,0.1322239,0.2007252,0.2747058,0.332178,0.3782462,0.0,0.0,0.0,EJ,
"CalRef,date=2025-21-3T15:37:17-06:00",Africa_Northern,wind,electricity,wind_offshore,0.0,0.0,0.0,0.0,2.00768E-4,0.001212218,0.005743868,0.017735468,0.041629368,0.08010529999999999,0.13142175,0.0,0.0,0.0,EJ,
"CalRef,date=2025-21-3T15:37:17-06:00",Africa_Northern,wind,electricity,wind_storage,0.0,0.0,0.0,0.0,8.29714E-5,2.558414E-4,6.937174000000001E-4,0.0014611934,0.0025885434,0.0040627334,0.005682282,0.0,0.0,0.0,EJ,
"CalRef,date=2025-21-3T15:37:17-06:00",Africa_Southern,biomass,electricity,biomass (IGCC),0.0,0.0,0.0,0.0,0.0,7.67131E-5,3.10194E-4,7.06255E-4,0.00137766,0.0025007,0.0042662,0.0,0.0,0.0,EJ,
"CalRef,date=2025-21-3T15:37:17-06:00",Africa_Southern,biomass,electricity,biomass (conv),0.0,0.0,4.03208E-4,5.6803E-4,5.16362E-4,8.91252E-4,0.00179179,0.00321644,0.00534365,0.00851384,0.0130639,0.0,0.0,0.0,EJ,
"CalRef,date=2025-21-3T15:37:17-06:00",Africa_Southern,coal,electricity,coal (IGCC),0.0,0.0,0.0,0.0,0.0,0.00242704,0.00881014,0.0183327,0.0327901,0.0546329,0.0855654,0.0,0.0,0.0,EJ,
"CalRef,date=2025-21-3T15:37:17-06:00",Africa_Southern,coal,electricity,coal (conv pul),0.0213304,0.0204675,0.0126981,0.0266776,0.029523,0.03621,0.0529289,0.075661,0.108072,0.154552,0.217795,0.0,0.0,0.0,EJ,
"CalRef,date=2025-21-3T15:37:17-06:00",Africa_Southern,gas,electricity,gas (CC),0.0,7.82675E-4,0.0,0.00985276,0.010533,0.0157283,0.0329148,0.0611561,0.105401,0.178826,0.285003,0.0,0.0,0.0,EJ,
"CalRef,date=2025-21-3T15:37:17-06:00",Africa_Southern,gas,electricity,gas (steam/CT),0.0,0.00337894,0.00860181,0.0189815,0.0182684,0.0210286,0.0277923,0.0344497,0.0405196,0.0472751,0.0537576,0.0,0.0,0.0,EJ,
"CalRef,date=2025-21-3T15:37:17-06:00",Africa_Southern,geothermal,electricity,geothermal,0.0,0.0,0.0,0.0,1.27775E-4,7.6961E-4,0.00315546,0.00734962,0.0139293,0.0232023,0.0346193,0.0,0.0,0.0,EJ,
"CalRef,date=2025-21-3T15:37:17-06:00",Africa_Southern,hydro,electricity,hydro,0.0548817,0.120117,0.148422,0.161628,0.175234,0.188839,0.202445,0.216051,0.229657,0.243262,0.256868,0.0,0.0,0.0,EJ,
"CalRef,date=2025-21-3T15:37:17-06:00",Africa_Southern,nuclear,electricity,Gen_III,0.0,0.0,0.0,0.0,1.14608E-5,2.08539E-4,0.00111899,0.00300651,0.00622018,0.0116189,0.0201027,0.0,0.0,0.0,EJ,
"CalRef,date=2025-21-3T15:37:17-06:00",Africa_Southern,refined liquids,electricity,refined liquids (CC),0.0,0.0,0.0,0.0,0.00501626,0.021051,0.0702376,0.145755,0.25568,0.405337,0.613447,0.0,0.0,0.0,EJ,
"CalRef,date=2025-21-3T15:37:17-06:00",Africa_Southern,refined liquids,electricity,refined liquids (steam/CT),0.00254617,0.00617975,0.00945459,0.0264218,0.0171572,0.0287979,0.0504011,0.0701354,0.0868509,0.0990354,0.111731,0.0,0.0,0.0,EJ,
"CalRef,date=2025-21-3T15:37:17-06:00",Africa_Southern,rooftop_pv,elect_td_bld,rooftop_pv,0.0,0.0,0.0,0.0,0.0251731,0.0564175,0.0982822,0.155814,0.236228,0.342729,0.480954,0.0,0.0,0.0,EJ,
"CalRef,date=2025-21-3T15:37:17-06:00",Africa_Southern,solar,electricity,CSP_storage,0.0,0.0,0.0,0.0,4.85241E-8,9.40754E-7,1.09689E-5,5.57485E-5,2.1014E-4,6.32699E-4,0.00156868,0.0,0.0,0.0,EJ,
"CalRef,date=2025-21-3T15:37:17-06:00",Africa_Southern,solar,electricity,PV,0.0,1.12E-5,5.2901E-5,8.6686E-5,2.2632099999999998E-4,9.1453E-4,0.00330467,0.0073681,0.01401339,0.024907504,0.041909269,0.0,0.0,0.0,EJ,
"CalRef,date=2025-21-3T15:37:17-06:00",Africa_Southern,solar,electricity,PV_storage,0.0,0.0,0.0,0.0,1.14755E-7,1.331475E-6,1.2234275E-5,5.6833174999999995E-5,2.07252175E-4,6.25073175E-4,0.0015719934199999999,0.0,0.0,0.0,EJ,
"CalRef,date=2025-21-3T15:37:17-06:00",Africa_Southern,wind,electricity,wind,0.0,2.20001E-6,6.70013E-6,6.51895E-5,2.656885E-4,0.0012575465,0.0048515965,0.0111766565,0.0214896565,0.037458567,0.059834667999999994,0.0,0.0,0.0,EJ,
"CalRef,date=2025-21-3T15:37:17-06:00",Africa_Southern,wind,electricity,wind_offshore,0.0,0.0,0.0,0.0,2.00761E-6,3.896171E-5,4.0739971E-4,0.0018504797100000001,0.00642497971,0.0185433721,0.044941918,0.0,0.0,0.0,EJ,
"CalRef,date=2025-21-3T15:37:17-06:00",Africa_Southern,wind,electricity,wind_storage,0.0,0.0,0.0,0.0,3.85625E-7,3.399545E-6,2.0466845E-5,6.4294845E-5,1.6330504500000002E-4,3.65949045E-4,7.3199642E-4,0.0,0.0,0.0,EJ,
"CalRef,date=2025-21-3T15:37:17-06:00",Africa_Western,biomass,electricity,biomass (IGCC),0.0,0.0,0.0,0.0,0.0,4.35859E-4,0.00223006,0.00534352,0.0107666,0.019428,0.0326088,0.0,0.0,0.0,EJ,
"CalRef,date=2025-21-3T15:37:17-06:00",Africa_Western,biomass,electricity,biomass (conv),1.69199E-4,6.156E-4,7.74005E-4,9.19439E-4,0.00122883,0.00284216,0.0098693,0.0205977,0.0366411,0.0587536,0.0890362,0.0,0.0,0.0,EJ,
"CalRef,date=2025-21-3T15:37:17-06:00",Africa_Western,coal,electricity,coal (IGCC),0.0,0.0,0.0,0.0,0.0,1.92421E-4,9.4855E-4,0.00223354,0.0044455,0.00802908,0.0135867,0.0,0.0,0.0,EJ,
"CalRef,date=2025-21-3T15:37:17-06:00",Africa_Western,coal,electricity,coal (conv pul),4.69069E-4,0.00274717,0.00371142,8.52508E-4,0.00135703,0.00191573,0.00398784,0.00724803,0.0125369,0.0206516,0.0327408,0.0,0.0,0.0,EJ,
"CalRef,date=2025-21-3T15:37:17-06:00",Africa_Western,gas,electricity,gas (CC),0.00903383,0.0270922,0.0,0.00812517,0.0166496,0.0378025,0.152665,0.37932,0.770533,1.37229,2.23984,0.0,0.0,0.0,EJ,
"CalRef,date=2025-21-3T15:37:17-06:00",Africa_Western,gas,electricity,gas (steam/CT),0.0176241,0.046229,0.0966994,0.144144,0.141165,0.154644,0.217866,0.27899,0.330195,0.373869,0.4172,0.0,0.0,0.0,EJ,
"CalRef,date=2025-21-3T15:37:17-06:00",Africa_Western,geothermal,electricity,geothermal,0.0,0.0,0.0,0.0,0.00115912,0.00452962,0.0195329,0.0424684,0.0730753,0.107398,0.138193,0.0,0.0,0.0,EJ,
