LUC emissions by region
scenario,region,LandLeaf,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100,Units,
"NZ_CCS_0.1,date=2025-17-4T16:22:12-06:00",Africa_Eastern,All LandLeaf,3.8019783257509667,6.03217348086122,7.884468152380437,48.51563992403401,45.42354343657477,45.42044313224851,19.5969932725899,103.4021075914684,33.46061016618853,49.33560273300258,52.31937104015373,72.89232386461714,37.70355391610227,25.40160001927571,6.557297953571666,-30.74449281150449,-21.669081992666896,-14.928852062841248,-10.175765552036381,-6.8945710745693995,-4.65631706243192,-3.140054203234245,-2.116779590230974,-1.4274229786790764,-0.9632546889805391,MtC/yr,
"NZ_CCS_0.1,date=2025-17-4T16:22:12-06:00",Africa_Northern,All LandLeaf,-9.253902708086297,-7.136528881301796,-6.630629234469943,0.09317136885625654,3.9911776144641076,4.760507815783126,3.6838058182218725,12.475398750292841,1.914040523983393,1.6347207488238187,1.8969221031599544,3.9647038374146777,2.039333043037637,1.1750904731009757,0.040803257117264055,-0.920239114302703,-0.6843764995985574,-0.5234055284354976,-0.3992151003048358,-0.30154273638757917,-0.2257542209165574,-0.16789693986039422,-0.12428958903753957,-0.09172104664014541,-0.0675481947527622,MtC/yr,
"NZ_CCS_0.1,date=2025-17-4T16:22:12-06:00",Africa_Southern,All LandLeaf,2.2457005063064055,11.983005651012203,19.456763477313654,26.460759368270903,27.362172731814166,27.646763259693177,77.55236183585075,137.17503427386944,41.09602407035169,57.96895422540662,58.545901761927176,77.32119140411612,54.95046639982653,48.085736638957755,32.007425854446765,-16.958638543007062,-13.661811629233238,-9.847959523150172,-6.772940648828213,-4.551451314578453,-3.021098848190931,-1.991663044829372,-1.3080262245555405,-0.8572761900334027,-0.5612714214825127,MtC/yr,
"NZ_CCS_0.1,date=2025-17-4T16:22:12-06:00",Africa_Western,All LandLeaf,56.63476411912628,67.13364441397297,75.32346281153686,152.13983298987623,151.2612663225826,149.74277256972596,133.52903585676066,192.89154024656284,128.1966755632077,191.66877390976006,231.34044881714559,268.8218370320391,190.14424017028827,156.70524688935993,121.62905576457308,-32.10791236091503,-28.047894197075617,-21.364224180093185,-15.456341947876048,-10.91661709546202,-7.614288682380389,-5.2740215273402535,-3.6384046935687606,-2.504175416767487,-1.7212214581737613,MtC/yr,
"NZ_CCS_0.1,date=2025-17-4T16:22:12-06:00",Argentina,All LandLeaf,3.8163377408196935,-0.1131618629117946,-2.387570550386697,28.672664000128695,20.808420344459154,18.400876830110104,50.467613522582944,62.09851433960023,19.10791176903896,16.74074010506962,16.348408304787025,20.017003608541767,9.926076094551927,8.692192668186841,1.5143087964763138,0.29393541445251475,0.09327609944613807,0.0022744216102003143,-0.033164373935887476,-0.04105603336226865,-0.03734231879245858,-0.030028627401480688,-0.02262839164627071,-0.016401886133424904,-0.011596281107947566,MtC/yr,
"NZ_CCS_0.1,date=2025-17-4T16:22:12-06:00",Australia_NZ,All LandLeaf,1.9912443938842241,6.821597138288619,10.432036752582087,17.248681038987375,8.832927092564201,4.83095916566036,-8.495135056206173,20.74417017272708,-14.405754932655697,4.304772716413319,10.925544687345733,23.680159447982117,9.475055334967998,6.101128898647609,-2.798483884408715,-8.118433350022375,-6.304578646885304,-4.758596819428526,-3.5604808967432846,-2.6546866181271414,-1.9752289994993575,-1.467311924095127,-1.088514158686371,-0.806566477617561,-0.5970705528661215,MtC/yr,
"NZ_CCS_0.1,date=2025-17-4T16:22:12-06:00",Brazil,All LandLeaf,205.5155564622347,207.62359812213617,211.29093266617946,143.97940750235313,157.47560855292554,166.48849957414637,179.9203984429204,274.93410519498303,70.45208556741615,110.73558434878686,132.1337704286182,182.7259262547993,91.11381304584427,66.93025172878565,-4.981209851014682,-12.984895276107618,-8.87236074627929,-5.499202949759793,-3.32297909362439,-2.007654104841541,-1.2249457821859617,-0.7575440173486137,-0.4752183958147938,-0.30220052917587137,-0.1945577064924981,MtC/yr,
"NZ_CCS_0.1,date=2025-17-4T16:22:12-06:00",Canada,All LandLeaf,73.33545412272062,70.23233574839664,68.36810191469174,41.08488630314163,35.346283511878184,31.533025713347406,-61.39303541356151,-10.457394855242063,-2.744028668932945,100.98174745851531,168.14419768422786,327.9352193591072,137.12485090541685,90.5269595648197,43.762699402655706,21.034301704803926,12.10162056514615,6.769365687386055,3.643725211326411,1.8457436616026952,0.8360548573700071,0.28837695976762484,0.007201974202518536,-0.12356152974834181,-0.1721018515308248,MtC/yr,
"NZ_CCS_0.1,date=2025-17-4T16:22:12-06:00",Central America and Caribbean,All LandLeaf,28.14182447207181,27.840722200943414,27.984849627601424,17.854545023635417,17.845655861501776,17.948906981827093,8.417596600083472,4.11485118469662,5.687480477512476,10.63397973215614,11.854197649888956,20.08889446681625,11.439934579165037,7.915282640040432,3.2631392880031354,-1.377600960908419,-1.1151594311240032,-0.8247472708827777,-0.5922021992521229,-0.41908436645425506,-0.2938875195425356,-0.20479418215571804,-0.14206591413430422,-0.09823024214285926,-0.06776185341663493,MtC/yr,
"NZ_CCS_0.1,date=2025-17-4T16:22:12-06:00",Central Asia,All LandLeaf,31.98745079075473,22.94893916387614,14.853604747335476,9.022062942944897,-2.487610164416593,-8.842128256085799,89.93174766910735,-10.670924287095875,-30.31345852780039,-15.189993804169626,-8.744092762929702,-1.2831522388663101,-2.583316044882688,-1.5299890960242146,-3.085175196502552,-2.4398042965833664,-1.759754497169106,-1.3283921272623536,-1.013052159869853,-0.7708384382039575,-0.5837902816503561,-0.4401825673866641,-0.33070338896564755,-0.24774667928362545,-0.18518663452817313,MtC/yr,
