elec gen by gen tech
scenario,region,subsector,output,technology,1990,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2065,2080,2095,Units,
"NZ_RE_1.0,date=2025-1-4T11:50:03-06:00",Africa_Eastern,wind,electricity,wind_storage,0.0,0.0,0.0,0.0,7.83916E-5,5.085695999999999E-4,0.0038936496,0.0129445996,0.0406558996,0.1084105996,0.31224820799999997,0.0,0.0,0.0,EJ,
"NZ_RE_1.0,date=2025-1-4T11:50:03-06:00",Africa_Northern,biomass,electricity,biomass (IGCC CCS),0.0,0.0,0.0,0.0,0.0,0.0,0.0014299,0.00548136,0.013138,0.0275216,0.0521423,0.0,0.0,0.0,EJ,
"NZ_RE_1.0,date=2025-1-4T11:50:03-06:00",Africa_Northern,biomass,electricity,biomass (IGCC),0.0,0.0,0.0,0.0,0.0,5.27605E-4,0.00111404,0.00154795,0.00119261,8.89832E-5,3.44661E-7,0.0,0.0,0.0,EJ,
"NZ_RE_1.0,date=2025-1-4T11:50:03-06:00",Africa_Northern,biomass,electricity,biomass (conv CCS),0.0,0.0,0.0,0.0,0.0,0.0,0.00778782,0.0390287,0.0740274,0.105317,0.11074,0.0,0.0,0.0,EJ,
"NZ_RE_1.0,date=2025-1-4T11:50:03-06:00",Africa_Northern,biomass,electricity,biomass (conv),0.0,0.0,0.0,8.38538E-7,0.00203557,0.00419599,0.00634505,0.00693368,0.00253321,8.51082E-5,2.67447E-7,0.0,0.0,0.0,EJ,
"NZ_RE_1.0,date=2025-1-4T11:50:03-06:00",Africa_Northern,coal,electricity,coal (IGCC CCS),0.0,0.0,0.0,0.0,0.0,0.0,0.00229092,0.00722991,0.0148401,0.0244166,0.0277739,0.0,0.0,0.0,EJ,
"NZ_RE_1.0,date=2025-1-4T11:50:03-06:00",Africa_Northern,coal,electricity,coal (IGCC),0.0,0.0,0.0,0.0,0.0,0.00475068,0.00577689,0.00550461,0.00279746,1.76296E-4,7.80474E-7,0.0,0.0,0.0,EJ,
"NZ_RE_1.0,date=2025-1-4T11:50:03-06:00",Africa_Northern,coal,electricity,coal (conv pul CCS),0.0,0.0,0.0,0.0,0.0,0.0,0.00309305,0.00875151,0.0161436,0.023125,0.0185195,0.0,0.0,0.0,EJ,
"NZ_RE_1.0,date=2025-1-4T11:50:03-06:00",Africa_Northern,coal,electricity,coal (conv pul),0.00796419,0.0458413,0.0391337,0.0616133,0.0848857,0.0963791,0.0723394,0.0441134,0.0147116,7.021E-4,3.02696E-6,0.0,0.0,0.0,EJ,
"NZ_RE_1.0,date=2025-1-4T11:50:03-06:00",Africa_Northern,gas,electricity,gas (CC CCS),0.0,0.0,0.0,0.0,0.0,0.0,0.21197,0.556643,0.991525,1.5385,2.04285,0.0,0.0,0.0,EJ,
"NZ_RE_1.0,date=2025-1-4T11:50:03-06:00",Africa_Northern,gas,electricity,gas (CC),0.0752962,0.198004,0.300157,0.382972,0.547766,0.714785,0.703773,0.676821,0.594169,0.28227,0.00608444,0.0,0.0,0.0,EJ,
"NZ_RE_1.0,date=2025-1-4T11:50:03-06:00",Africa_Northern,gas,electricity,gas (steam/CT),0.0604983,0.284393,0.386424,0.494542,0.572436,0.633624,0.488542,0.352852,0.184243,0.028651,3.54536E-4,0.0,0.0,0.0,EJ,
"NZ_RE_1.0,date=2025-1-4T11:50:03-06:00",Africa_Northern,geothermal,electricity,geothermal,0.0,0.0,0.0,0.0,0.00833986,0.0185448,0.0402997,0.0661777,0.0719911,0.0719808,0.071937,0.0,0.0,0.0,EJ,
"NZ_RE_1.0,date=2025-1-4T11:50:03-06:00",Africa_Northern,hydro,electricity,hydro,0.0408229,0.0516283,0.0603252,0.0564102,0.0615764,0.0667426,0.0719089,0.0770751,0.0822413,0.0874075,0.0925738,0.0,0.0,0.0,EJ,
"NZ_RE_1.0,date=2025-1-4T11:50:03-06:00",Africa_Northern,nuclear,electricity,Gen_III,0.0,0.0,0.0,0.0,9.47742E-4,0.00604784,0.0270254,0.0720437,0.135658,0.240074,0.45377,0.0,0.0,0.0,EJ,
