LUC emissions by region
scenario,region,LandLeaf,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100,Units,
"NZ_CCS_0.5,date=2025-17-4T19:18:25+18:00",Africa_Eastern,All LandLeaf,3.8019783257509667,6.03217348086122,7.884468152380437,48.51563992403401,45.42354343657477,45.42044313224851,19.5969932725899,103.4021075914684,33.46060936846152,49.351732590957674,52.325154222537314,72.86474823444034,37.72620171481539,25.397431158163474,6.553858054401171,-30.74464373942772,-21.669154289531452,-14.92887241092528,-10.175764522022792,-6.894575206297201,-4.6563169989782605,-3.1400544873932477,-2.1167804360616054,-1.427423160311253,-0.9632549148414212,MtC/yr,
"NZ_CCS_0.5,date=2025-17-4T19:18:25+18:00",Africa_Northern,All LandLeaf,-9.253902708086297,-7.136528881301796,-6.630629234469943,0.09317136885625654,3.9911776144641076,4.760507815783126,3.6838058182218725,12.475398750292841,1.9140496472919946,1.6412372634663084,1.9000422763885625,3.9645725203398716,2.036905274133028,1.1733358653665766,0.039524801690515296,-0.9203312805767702,-0.6844056516126631,-0.5234169696116259,-0.39922111581822495,-0.3015461589792363,-0.22575634547740708,-0.1678980812236715,-0.12429032118412257,-0.09172149747838891,-0.06754852544346258,MtC/yr,
"NZ_CCS_0.5,date=2025-17-4T19:18:25+18:00",Africa_Southern,All LandLeaf,2.2457005063064055,11.983005651012203,19.456763477313654,26.460759368270903,27.362172731814166,27.646763259693177,77.55236183585075,137.17503427386944,41.09602527138691,57.98465223283443,58.55227486795131,77.30786147506161,54.959063420252626,48.08297883561923,32.00391707711579,-16.95860407851638,-13.661726569711302,-9.847898306983831,-6.77289140661199,-4.5514318866627175,-3.0210839693696387,-1.991654018184957,-1.3080197612614513,-0.8572737240113112,-0.5612695513718285,MtC/yr,
"NZ_CCS_0.5,date=2025-17-4T19:18:25+18:00",Africa_Western,All LandLeaf,56.63476411912628,67.13364441397297,75.32346281153686,152.13983298987623,151.2612663225826,149.74277256972596,133.52903585676066,192.89154024656284,128.1966741950734,191.6920002629037,231.34485251967322,268.7575405890503,190.19692372486367,156.70277019711793,121.62516996146475,-32.10727350618192,-28.047505041539353,-21.363898786351164,-15.456048402131625,-10.916457901070716,-7.614175481948414,-5.273940820536596,-3.6383435632803987,-2.5041406437168066,-1.7212018367065696,MtC/yr,
"NZ_CCS_0.5,date=2025-17-4T19:18:25+18:00",Argentina,All LandLeaf,3.8163377408196935,-0.1131618629117946,-2.387570550386697,28.672664000128695,20.808420344459154,18.400876830110104,50.467613522582944,62.09851433960023,19.108014835222466,16.766967451472315,16.366792235731687,20.008927886421052,9.92942613087002,8.68445991532125,1.5096487562500547,0.2914185911792929,0.09202960758670825,0.0016695730843561288,-0.033459331232121185,-0.04120137684010395,-0.0374148101350776,-0.03006584178774945,-0.022647718812191783,-0.016412137264620416,-0.01160185090858679,MtC/yr,
"NZ_CCS_0.5,date=2025-17-4T19:18:25+18:00",Australia_NZ,All LandLeaf,1.9912443938842241,6.821597138288619,10.432036752582087,17.248681038987375,8.832927092564201,4.83095916566036,-8.495135056206173,20.74417017272708,-14.405757449435924,4.374472856287903,10.967383652194025,23.667590036753104,9.4658811129389,6.083068154409177,-2.814563097032984,-8.119729879280724,-6.305065656404196,-4.758798791430378,-3.5605793179316136,-2.654739941967198,-1.9752553224727496,-1.467330968559963,-1.0885251261782103,-0.8065742719704051,-0.597075491469611,MtC/yr,
"NZ_CCS_0.5,date=2025-17-4T19:18:25+18:00",Brazil,All LandLeaf,205.5155564622347,207.62359812213617,211.29093266617946,143.97940750235313,157.47560855292554,166.48849957414637,179.9203984429204,274.93410519498303,70.45219107678395,110.94744663004418,132.23040586992238,182.5823545427741,91.16528530007506,66.87208903101694,-5.001345920796881,-12.989823020563813,-8.875486372619866,-5.501251262412612,-3.3243669027417613,-2.008596439512886,-1.2255887805563834,-0.7579822618241796,-0.4755179169086589,-0.3024048858701014,-0.1946975253931629,MtC/yr,
"NZ_CCS_0.5,date=2025-17-4T19:18:25+18:00",Canada,All LandLeaf,73.33545412272062,70.23233574839664,68.36810191469174,41.08488630314163,35.346283511878184,31.533025713347406,-61.39303541356151,-10.457394855242063,-2.744000044465967,101.05381264718196,168.18142018022704,327.7808896194289,137.2349890018489,90.52311726775457,43.75539830158859,21.031107274699888,12.099552147413663,6.767987020808424,3.642816020880002,1.8451499819432204,0.8356583125171437,0.2881047882801398,0.007017621581540435,-0.12368565659372324,-0.1721875893306978,MtC/yr,
"NZ_CCS_0.5,date=2025-17-4T19:18:25+18:00",Central America and Caribbean,All LandLeaf,28.14182447207181,27.840722200943414,27.984849627601424,17.854545023635417,17.845655861501776,17.948906981827093,8.417596600083472,4.11485118469662,5.687491648375045,10.650388282513761,11.863723306638368,20.08458714094941,11.430272370544175,7.916424633814874,3.260522708235914,-1.3778185062217332,-1.1152968325287402,-0.8248457440580887,-0.5922738566638595,-0.4191370920635709,-0.29392469282786804,-0.204821259881304,-0.1420850107734918,-0.09824343960958025,-0.0677710636508224,MtC/yr,
"NZ_CCS_0.5,date=2025-17-4T19:18:25+18:00",Central Asia,All LandLeaf,31.98745079075473,22.94893916387614,14.853604747335476,9.022062942944897,-2.487610164416593,-8.842128256085799,89.93174766910735,-10.670924287095875,-30.313467874991783,-15.181807427830295,-8.738163926049966,-1.2818400294265428,-2.582761657483973,-1.532352715547084,-3.087222327327591,-2.44096841049795,-1.7603998247852246,-1.3287667518458277,-1.0132785835036202,-0.7709830362249346,-0.5838808581351871,-0.4402379995976616,-0.33073752523030264,-0.2477680468986511,-0.1852002053787134,MtC/yr,
