ag production by crop type
scenario,region,output,sector,1990,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2065,2080,2095,Units,
"CalRef,date=2025-21-3T15:37:17-06:00",Africa_Eastern,Corn,Corn,5.5231824000000005,8.328387099999997,11.041966531999998,14.806322999999999,16.717643756999994,18.630988203999998,20.728590707,23.058524464,25.779961410000002,29.030971176999998,32.695656184,0.0,0.0,0.0,Mt,
"CalRef,date=2025-21-3T15:37:17-06:00",Africa_Eastern,FiberCrop,FiberCrop,0.5902161999999999,0.5123443,0.38222887441000003,0.38588540000000005,0.42191881318999996,0.47450773478,0.5326883650800001,0.5906370697500001,0.65250359898,0.71804644279,0.7855589450900002,0.0,0.0,0.0,Mt,
"CalRef,date=2025-21-3T15:37:17-06:00",Africa_Eastern,FodderGrass,FodderGrass,0.8859997,1.4580011,1.4890746007,1.4900021000000003,1.7200491879999997,1.9899417356,2.3402773981,2.7272704376,3.1631366026,3.632820177,4.1361984734999995,0.0,0.0,0.0,Mt,
"CalRef,date=2025-21-3T15:37:17-06:00",Africa_Eastern,FodderHerb,FodderHerb,0.0548153,0.1473187,0.23551298882500002,0.30732209999999993,0.3105071351827,0.3677018858786,0.42108188101229993,0.5026197861592,0.5946846145065,0.6945493097820999,0.8008385790961,0.0,0.0,0.0,Mt,
"CalRef,date=2025-21-3T15:37:17-06:00",Africa_Eastern,Forest,Forest,0.168817,0.2226978,0.24051266519999998,0.24732589999999996,0.2777550677,0.3112515104,0.34907430500000003,0.3877715870000001,0.427678419,0.468169946,0.508538496,0.0,0.0,0.0,billion m3,
"CalRef,date=2025-21-3T15:37:17-06:00",Africa_Eastern,Fruits,Fruits,16.664598800000004,21.938584300000002,23.61163859870001,21.937546899999994,25.647058113199996,30.108140443499995,35.939079317499996,42.48466965009999,49.960193006100006,58.308566231200004,67.37466093340001,0.0,0.0,0.0,Mt,
"CalRef,date=2025-21-3T15:37:17-06:00",Africa_Eastern,Legumes,Legumes,2.3216277,2.6583871000000006,3.4112020640000007,4.8140893,5.6668315352,6.733794139200001,8.063571270199999,9.547899245299998,11.229699098000001,13.093494995,15.104109384000001,0.0,0.0,0.0,Mt,
"CalRef,date=2025-21-3T15:37:17-06:00",Africa_Eastern,MiscCrop,MiscCrop,1.0087598,1.2643607000000003,1.4408871897150006,1.7755248000000001,1.9663418001709998,2.1822201952480005,2.425289411649,2.6679035888449993,2.922557227395,3.1848442638130003,3.450362824488,0.0,0.0,0.0,Mt,
"CalRef,date=2025-21-3T15:37:17-06:00",Africa_Eastern,NutsSeeds,NutsSeeds,0.6414895999999997,1.0219644000000003,1.2471445916899997,1.4054533999999999,1.6345673148800004,1.8980115069999994,2.2095169383300006,2.5317721301700002,2.8830612635500006,3.2581966964199998,3.648700245960001,0.0,0.0,0.0,Mt,
"CalRef,date=2025-21-3T15:37:17-06:00",Africa_Eastern,OilCrop,OilCrop,0.7748919999999997,1.4652478999999994,1.8409342344000001,1.8407726000000004,2.2246588466999997,2.6894239291,3.210120429099999,3.5770685698,4.033921690899999,4.575756284000001,5.147672469400002,0.0,0.0,0.0,Mt,
