LUC emissions by region
scenario,region,LandLeaf,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100,Units,
"NZ_RE_1.0,date=2025-1-4T11:50:03-06:00",Africa_Eastern,All LandLeaf,3.8019783257509667,6.03217348086122,7.884468152380437,48.51563992403401,45.42354343657477,45.42044313224851,19.5969932725899,103.4021075914684,33.46060930129751,49.36602853912938,52.266890133762345,72.81343520997824,36.89335409317006,24.746043147575254,6.165708491189489,-30.74127046444195,-21.669799513303335,-14.93055010635236,-10.177353856317117,-6.895820021022614,-4.657223663533008,-3.1406875250638318,-2.1172125612365766,-1.4277211271280348,-0.9634580045854358,MtC/yr,
"NZ_RE_1.0,date=2025-1-4T11:50:03-06:00",Africa_Northern,All LandLeaf,-9.253902708086297,-7.136528881301796,-6.630629234469943,0.09317136885625654,3.9911776144641076,4.760507815783126,3.6838058182218725,12.475398750292841,1.9140486359588942,1.6470853766802187,1.9004425819214839,3.968228685462557,1.995231827621177,1.1260152772870464,0.0198977957386674,-0.92064513898934,-0.6847656449943097,-0.5237005924917643,-0.39941785549230696,-0.301674865256868,-0.22583690633226486,-0.16794641866293117,-0.12431813576878495,-0.09173640448824098,-0.0675555348513819,MtC/yr,
"NZ_RE_1.0,date=2025-1-4T11:50:03-06:00",Africa_Southern,All LandLeaf,2.2457005063064055,11.983005651012203,19.456763477313654,26.460759368270903,27.362172731814166,27.646763259693177,77.55236183585075,137.17503427386944,41.09602449064589,57.99847705045654,58.53603196884682,77.28836929909546,54.38774265670211,47.610928785905564,31.728072684372602,-16.974480586528816,-13.67191859028114,-9.855162972014234,-6.778103057855096,-4.55512357471461,-3.0236427656727174,-1.993407569664133,-1.3092091574193454,-0.8580733479584389,-0.5618047143154902,MtC/yr,
"NZ_RE_1.0,date=2025-1-4T11:50:03-06:00",Africa_Western,All LandLeaf,56.63476411912628,67.13364441397297,75.32346281153686,152.13983298987623,151.2612663225826,149.74277256972596,133.52903585676066,192.89154024656284,128.19667313975341,191.7118940418723,231.29437158996978,268.718180491867,188.53663750794124,155.51367615922874,120.81827149254434,-32.25227389045775,-28.16498399628422,-21.45556769524148,-15.524909438283174,-10.96665738222807,-7.650133782403916,-5.299378507593882,-3.656179097736337,-2.516569170883013,-1.7298254674048854,MtC/yr,
"NZ_RE_1.0,date=2025-1-4T11:50:03-06:00",Argentina,All LandLeaf,3.8163377408196935,-0.1131618629117946,-2.387570550386697,28.672664000128695,20.808420344459154,18.400876830110104,50.467613522582944,62.09851433960023,19.108014590700794,16.79141920176442,16.387235622450604,20.11914126494416,9.745089207679408,8.546189594363572,1.4528671495146195,0.2500618516142553,0.06965255418657884,-0.010027621858426218,-0.039655768765563974,-0.04457137347022682,-0.03930151782793637,-0.03115256090702531,-0.023290513420977387,-0.01680146212932389,-0.01184241431239853,MtC/yr,
"NZ_RE_1.0,date=2025-1-4T11:50:03-06:00",Australia_NZ,All LandLeaf,1.9912443938842241,6.821597138288619,10.432036752582087,17.248681038987375,8.832927092564201,4.83095916566036,-8.495135056206173,20.74417017272708,-14.405757624146922,4.437344498582538,10.991482086224611,23.80011048147491,9.152825678807693,5.829460889657945,-2.9467166537749963,-8.129449963689071,-6.312341098430461,-4.7645670618014355,-3.565136742695075,-2.6582873261317026,-1.977986873372314,-1.4694084163169074,-1.0900959028353776,-0.8077550334344843,-0.5979591968074335,MtC/yr,
"NZ_RE_1.0,date=2025-1-4T11:50:03-06:00",Brazil,All LandLeaf,205.5155564622347,207.62359812213617,211.29093266617946,143.97940750235313,157.47560855292554,166.48849957414637,179.9203984429204,274.93410519498303,70.45219172486271,111.14102117548488,132.40689690505624,183.503127164568,88.71992437726173,65.16737841159103,-5.346970241990081,-13.067141680173613,-8.93123474901259,-5.541625800285221,-3.3532148891738935,-2.0289551075529366,-1.2398160820384032,-0.7678610799046737,-0.4823470525912779,-0.3071108359705711,-0.19793504583505211,MtC/yr,
"NZ_RE_1.0,date=2025-1-4T11:50:03-06:00",Canada,All LandLeaf,73.33545412272062,70.23233574839664,68.36810191469174,41.08488630314163,35.346283511878184,31.533025713347406,-61.39303541356151,-10.457394855242063,-2.7440000712353805,101.1192127615897,167.9688552128931,327.76069795469095,136.1690593395883,89.10797638217407,43.01663121775636,20.643064315289184,11.832264064632716,6.584440716164607,3.5167011429860704,1.7583632672823362,0.775786620326114,0.24665452680072472,-0.02180011386276422,-0.1438025879567457,-0.18629539383424157,MtC/yr,
"NZ_RE_1.0,date=2025-1-4T11:50:03-06:00",Central America and Caribbean,All LandLeaf,28.14182447207181,27.840722200943414,27.984849627601424,17.854545023635417,17.845655861501776,17.948906981827093,8.417596600083472,4.11485118469662,5.687491514437434,10.667308486526583,11.866452692235384,20.05823732256001,11.269297277836673,7.805270166732886,3.231164827737113,-1.3925931171456285,-1.1269041349804487,-0.833683314382624,-0.598782501190936,-0.42381801250926177,-0.2972386320192419,-0.20714261403743145,-0.14370022555848602,-0.09936230677484992,-0.06854375360058979,MtC/yr,
"NZ_RE_1.0,date=2025-1-4T11:50:03-06:00",Central Asia,All LandLeaf,31.98745079075473,22.94893916387614,14.853604747335476,9.022062942944897,-2.487610164416593,-8.842128256085799,89.93174766910735,-10.670924287095875,-30.31346777620389,-15.174146461301122,-8.73233600029524,-1.246517209270979,-2.6625906963288877,-1.5771872533030409,-3.0991320190349696,-2.4529258021225644,-1.7667312775948885,-1.332681471000813,-1.0159439942870787,-0.7728639700434081,-0.5852247735628441,-0.44120300223677916,-0.33142990725262755,-0.248267118805333,-0.1855602908245211,MtC/yr,
