elec gen by gen tech
scenario,region,subsector,output,technology,1990,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2065,2080,2095,Units,
"NZ_CCS_0.5,date=2025-17-4T19:18:25+18:00",Africa_Eastern,wind,electricity,wind_storage,0.0,0.0,0.0,0.0,7.83916E-5,5.085086E-4,0.0038811886,0.0128728586,0.0403720586,0.1075354586,0.307999067,0.0,0.0,0.0,EJ,
"NZ_CCS_0.5,date=2025-17-4T19:18:25+18:00",Africa_Northern,biomass,electricity,biomass (IGCC CCS),0.0,0.0,0.0,0.0,0.0,0.0,0.00144845,0.00548091,0.0130334,0.0272457,0.0516632,0.0,0.0,0.0,EJ,
"NZ_CCS_0.5,date=2025-17-4T19:18:25+18:00",Africa_Northern,biomass,electricity,biomass (IGCC),0.0,0.0,0.0,0.0,0.0,5.27552E-4,0.00109588,0.00150832,0.0011521,8.42946E-5,3.19695E-7,0.0,0.0,0.0,EJ,
"NZ_CCS_0.5,date=2025-17-4T19:18:25+18:00",Africa_Northern,biomass,electricity,biomass (conv CCS),0.0,0.0,0.0,0.0,0.0,0.0,0.00810214,0.0399878,0.0754156,0.107666,0.116022,0.0,0.0,0.0,EJ,
"NZ_CCS_0.5,date=2025-17-4T19:18:25+18:00",Africa_Northern,biomass,electricity,biomass (conv),0.0,0.0,0.0,8.38538E-7,0.00203557,0.00419564,0.00627339,0.00679673,0.00245661,8.15426E-5,2.54397E-7,0.0,0.0,0.0,EJ,
"NZ_CCS_0.5,date=2025-17-4T19:18:25+18:00",Africa_Northern,coal,electricity,coal (IGCC CCS),0.0,0.0,0.0,0.0,0.0,0.0,0.00235646,0.00739041,0.0151126,0.0249882,0.0292824,0.0,0.0,0.0,EJ,
"NZ_CCS_0.5,date=2025-17-4T19:18:25+18:00",Africa_Northern,coal,electricity,coal (IGCC),0.0,0.0,0.0,0.0,0.0,0.00475017,0.00575049,0.00546656,0.00280047,1.75746E-4,7.58281E-7,0.0,0.0,0.0,EJ,
"NZ_CCS_0.5,date=2025-17-4T19:18:25+18:00",Africa_Northern,coal,electricity,coal (conv pul CCS),0.0,0.0,0.0,0.0,0.0,0.0,0.00321718,0.00905754,0.0166804,0.0241044,0.0204124,0.0,0.0,0.0,EJ,
"NZ_CCS_0.5,date=2025-17-4T19:18:25+18:00",Africa_Northern,coal,electricity,coal (conv pul),0.00796419,0.0458413,0.0391337,0.0616133,0.0848857,0.0963775,0.0722893,0.0441954,0.0149261,7.11954E-4,2.99787E-6,0.0,0.0,0.0,EJ,
"NZ_CCS_0.5,date=2025-17-4T19:18:25+18:00",Africa_Northern,gas,electricity,gas (CC CCS),0.0,0.0,0.0,0.0,0.0,0.0,0.215302,0.563751,1.00239,1.5607,2.07749,0.0,0.0,0.0,EJ,
