elec gen by gen tech and cooling tech
scenario,region,sector,subsector,output,technology,1990,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2065,2080,2095,Units,
"NZ_CCS_0.5,date=2025-17-4T19:18:25+18:00",Africa_Eastern,electricity,coal,elec_coal (IGCC CCS),coal (IGCC CCS) (recirculating),0.0,0.0,0.0,0.0,0.0,0.0,8.21153E-4,0.0024395849999999998,0.006298366,0.012219317,0.016359768,0.0,0.0,0.0,EJ,
"NZ_CCS_0.5,date=2025-17-4T19:18:25+18:00",Africa_Eastern,electricity,coal,elec_coal (IGCC CCS),coal (IGCC CCS) (seawater),0.0,0.0,0.0,0.0,0.0,0.0,3.44921E-5,1.027433E-4,2.6524929999999995E-4,5.084815E-4,6.703386E-4,0.0,0.0,0.0,EJ,
"NZ_CCS_0.5,date=2025-17-4T19:18:25+18:00",Africa_Eastern,electricity,coal,elec_coal (IGCC),coal (IGCC) (dry cooling),0.0,0.0,0.0,0.0,0.0,8.34208E-5,1.1809709999999998E-4,1.1475140000000001E-4,6.164004E-5,3.7183889999999997E-6,1.2542993E-8,0.0,0.0,0.0,EJ,
"NZ_CCS_0.5,date=2025-17-4T19:18:25+18:00",Africa_Eastern,electricity,coal,elec_coal (IGCC),coal (IGCC) (once through),0.0,0.0,0.0,0.0,0.0,1.18611E-5,2.6745759999999998E-5,2.7023700000000004E-5,1.515337E-5,1.204368E-6,5.428882E-9,0.0,0.0,0.0,EJ,
"NZ_CCS_0.5,date=2025-17-4T19:18:25+18:00",Africa_Eastern,electricity,coal,elec_coal (IGCC),coal (IGCC) (recirculating),0.0,0.0,0.0,0.0,0.0,0.00147403,0.0018001059999999999,0.0017018749999999998,9.406289999999999E-4,5.7013949999999996E-5,1.8725377999999999E-7,0.0,0.0,0.0,EJ,
"NZ_CCS_0.5,date=2025-17-4T19:18:25+18:00",Africa_Eastern,electricity,coal,elec_coal (IGCC),coal (IGCC) (seawater),0.0,0.0,0.0,0.0,0.0,6.26967E-5,7.52603E-5,7.06408E-5,3.883397E-5,2.3347969999999998E-6,7.584332E-9,0.0,0.0,0.0,EJ,
"NZ_CCS_0.5,date=2025-17-4T19:18:25+18:00",Africa_Eastern,electricity,coal,elec_coal (conv pul CCS),coal (conv pul CCS) (dry cooling),0.0,0.0,0.0,0.0,0.0,0.0,2.26686E-4,6.12542E-4,0.0014216020000000001,0.002501459,0.0024639629,0.0,0.0,0.0,EJ,
"NZ_CCS_0.5,date=2025-17-4T19:18:25+18:00",Africa_Eastern,electricity,coal,elec_coal (conv pul CCS),coal (conv pul CCS) (once through),0.0,0.0,0.0,0.0,0.0,0.0,4.33907E-5,1.0244759999999999E-4,2.1572840000000002E-4,4.32528E-4,5.5473527E-4,0.0,0.0,0.0,EJ,
"NZ_CCS_0.5,date=2025-17-4T19:18:25+18:00",Africa_Eastern,electricity,coal,elec_coal (conv pul CCS),coal (conv pul CCS) (recirculating),0.0,0.0,0.0,0.0,0.0,0.0,4.5276E-4,0.001216234,0.002773048,0.0046193729999999995,0.004470719,0.0,0.0,0.0,EJ,
"NZ_CCS_0.5,date=2025-17-4T19:18:25+18:00",Africa_Eastern,electricity,coal,elec_coal (conv pul CCS),coal (conv pul CCS) (seawater),0.0,0.0,0.0,0.0,0.0,0.0,5.10432E-4,0.001378438,0.0031484829999999997,0.005178828,0.004952598999999999,0.0,0.0,0.0,EJ,
"NZ_CCS_0.5,date=2025-17-4T19:18:25+18:00",Africa_Eastern,electricity,coal,elec_coal (conv pul),coal (conv pul) (dry cooling),7.94086E-5,5.61929E-4,8.58231E-4,5.18838E-4,7.7335E-4,0.001033565,6.557676E-4,4.463928E-4,1.7193814999999998E-4,7.947323E-6,2.4588985999999998E-8,0.0,0.0,0.0,EJ,
"NZ_CCS_0.5,date=2025-17-4T19:18:25+18:00",Africa_Eastern,electricity,coal,elec_coal (conv pul),coal (conv pul) (once through),5.5606E-5,3.9332E-4,6.00822E-4,3.63237E-4,3.910011E-4,4.090595E-4,1.3328519999999998E-4,7.639390000000001E-5,2.8612820000000003E-5,1.7044068000000003E-6,6.807478E-9,0.0,0.0,0.0,EJ,
"NZ_CCS_0.5,date=2025-17-4T19:18:25+18:00",Africa_Eastern,electricity,coal,elec_coal (conv pul),coal (conv pul) (recirculating),5.03055E-4,0.00355868,0.0054357,0.00328624,0.00770213,0.01200698,0.009322163,0.006971460999999999,0.0029555152,1.4343831E-4,4.49814069E-7,0.0,0.0,0.0,EJ,
"NZ_CCS_0.5,date=2025-17-4T19:18:25+18:00",Africa_Eastern,electricity,coal,elec_coal (conv pul),coal (conv pul) (seawater),2.38026E-5,1.68609E-4,2.57509E-4,1.55702E-4,3.46991E-4,5.37207E-4,4.1035839999999996E-4,3.0596670000000004E-4,1.2980695E-4,6.2598018999999995E-6,1.9375678E-8,0.0,0.0,0.0,EJ,
"NZ_CCS_0.5,date=2025-17-4T19:18:25+18:00",Africa_Eastern,electricity,gas,elec_gas (CC CCS),gas (CC CCS) (dry cooling),0.0,0.0,0.0,0.0,0.0,0.0,3.93565E-4,8.985390000000001E-4,0.001941041,0.003971977,0.006879491999999999,0.0,0.0,0.0,EJ,
"NZ_CCS_0.5,date=2025-17-4T19:18:25+18:00",Africa_Eastern,electricity,gas,elec_gas (CC CCS),gas (CC CCS) (once through),0.0,0.0,0.0,0.0,0.0,0.0,2.3616E-4,5.25664E-4,0.0010994870000000001,0.00216727,0.00367826,0.0,0.0,0.0,EJ,
"NZ_CCS_0.5,date=2025-17-4T19:18:25+18:00",Africa_Eastern,electricity,gas,elec_gas (CC CCS),gas (CC CCS) (recirculating),0.0,0.0,0.0,0.0,0.0,0.0,0.00435889,0.00983296,0.02106379,0.04292657,0.07330489999999999,0.0,0.0,0.0,EJ,
"NZ_CCS_0.5,date=2025-17-4T19:18:25+18:00",Africa_Eastern,electricity,gas,elec_gas (CC CCS),gas (CC CCS) (seawater),0.0,0.0,0.0,0.0,0.0,0.0,1.74796E-4,3.9393800000000004E-4,8.439E-4,0.001721321,0.0029334030000000002,0.0,0.0,0.0,EJ,
"NZ_CCS_0.5,date=2025-17-4T19:18:25+18:00",Africa_Eastern,electricity,gas,elec_gas (CC),gas (CC) (dry cooling),0.0,0.0,7.29849E-6,1.40051E-5,9.55647E-5,2.6445259999999997E-4,2.9459367000000004E-4,3.0308732E-4,2.9080701000000004E-4,1.2436198E-4,2.1813464000000004E-6,0.0,0.0,0.0,EJ,
