LUC emissions by region
scenario,region,LandLeaf,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100,Units,
"NZ_CCS_1.0,date=2025-17-4T21:24:28+18:00",Africa_Eastern,All LandLeaf,3.8019783257509667,6.03217348086122,7.884468152380437,48.51563992403401,45.42354343657477,45.42044313224851,19.5969932725899,103.4021075914684,33.460608265852564,49.3631049966038,52.32551761996089,72.84540658149244,37.74491675480499,25.395925278744258,6.552399219245954,-30.744856300739823,-21.66921438567876,-14.928906100114693,-10.175788558852277,-6.894577992067942,-4.656322759982927,-3.140058227448475,-2.116780964035852,-1.427423615593459,-0.9632545098991886,MtC/yr,
"NZ_CCS_1.0,date=2025-17-4T21:24:28+18:00",Africa_Northern,All LandLeaf,-9.253902708086297,-7.136528881301796,-6.630629234469943,0.09317136885625654,3.9911776144641076,4.760507815783126,3.6838058182218725,12.475398750292841,1.9140494131213943,1.6459203909639963,1.9009978746655032,3.963772242699556,2.037123328465189,1.1726528446218656,0.03889251858844675,-0.9203662555739544,-0.6844145587766814,-0.5234183905430696,-0.3992216665305418,-0.3015473317713812,-0.22575694610644148,-0.16789803442021062,-0.12429061282488646,-0.09172175913590312,-0.06754872210934719,MtC/yr,
"NZ_CCS_1.0,date=2025-17-4T21:24:28+18:00",Africa_Southern,All LandLeaf,2.2457005063064055,11.983005651012203,19.456763477313654,26.460759368270903,27.362172731814166,27.646763259693177,77.55236183585075,137.17503427386944,41.096254207205455,57.99568336653466,58.553275289969676,77.29708711041582,54.96966793178077,48.082268619733426,32.00239510971478,-16.958617576524507,-13.661698286538295,-9.847880189462467,-6.772878678338932,-4.551418022416872,-3.021075460432388,-1.9916485136162265,-1.3080165558152532,-0.8572704980643908,-0.561267942257532,MtC/yr,
"NZ_CCS_1.0,date=2025-17-4T21:24:28+18:00",Africa_Western,All LandLeaf,56.63476411912628,67.13364441397297,75.32346281153686,152.13983298987623,151.2612663225826,149.74277256972596,133.52903585676066,192.89154024656284,128.1966743267553,191.70809805742877,231.34293149121052,268.71276328296403,190.2369591350025,156.702117357073,121.62416880502286,-32.106758255157665,-28.047222618043016,-21.363728118013768,-15.455896275020628,-10.91633297253177,-7.614083691828134,-5.273876076543508,-3.638305857050945,-2.5041077172520456,-1.721172623030305,MtC/yr,
"NZ_CCS_1.0,date=2025-17-4T21:24:28+18:00",Argentina,All LandLeaf,3.8163377408196935,-0.1131618629117946,-2.387570550386697,28.672664000128695,20.808420344459154,18.400876830110104,50.467613522582944,62.09851433960023,19.10801571086439,16.786597701947517,16.375098669887045,20.002619190425772,9.936480773413985,8.681495121491237,1.5074158408775051,0.2902574853255911,0.09145400427033293,0.0013951765027111643,-0.033588809897443665,-0.04126329416186108,-0.03744535072925866,-0.03008073269713082,-0.022655130232662902,-0.016415934194600988,-0.011603735506478162,MtC/yr,
"NZ_CCS_1.0,date=2025-17-4T21:24:28+18:00",Australia_NZ,All LandLeaf,1.9912443938842241,6.821597138288619,10.432036752582087,17.248681038987375,8.832927092564201,4.83095916566036,-8.495135056206173,20.74417017272708,-14.40575706628971,4.425107002085698,10.985145043064417,23.658595622254897,9.472643226869796,6.075857351231658,-2.823251511526273,-8.120463771604205,-6.305349420836918,-4.758915917587056,-3.560621295187087,-2.6547530657435416,-1.9752592426280036,-1.4673289595044126,-1.0885231970248053,-0.8065710957958883,-0.597072303725416,MtC/yr,
"NZ_CCS_1.0,date=2025-17-4T21:24:28+18:00",Brazil,All LandLeaf,205.5155564622347,207.62359812213617,211.29093266617946,143.97940750235313,157.47560855292554,166.48849957414637,179.9203984429204,274.93410519498303,70.45219445374784,111.10407400645872,132.2657800834407,182.48826359088366,91.23151754203352,66.84383266056267,-5.013605215170285,-12.993806081093178,-8.877997612730342,-5.502841588831085,-3.325386413092296,-2.009256012141475,-1.2260180212310277,-0.7582653166690477,-0.4757063067951496,-0.3025310552853703,-0.19478164271200493,MtC/yr,
"NZ_CCS_1.0,date=2025-17-4T21:24:28+18:00",Canada,All LandLeaf,73.33545412272062,70.23233574839664,68.36810191469174,41.08488630314163,35.346283511878184,31.533025713347406,-61.39303541356151,-10.457394855242063,-2.7440076491749648,101.1065746796501,168.19553790225808,327.6757914869688,137.31333224006957,90.52322243127082,43.75370652331183,21.030771906886937,12.099321489988759,6.767865606155195,3.6427092787690705,1.8450685470332504,0.8356138994095519,0.2880762785734163,0.006996211626418092,-0.12370129762992048,-0.17219800117365025,MtC/yr,
"NZ_CCS_1.0,date=2025-17-4T21:24:28+18:00",Central America and Caribbean,All LandLeaf,28.14182447207181,27.840722200943414,27.984849627601424,17.854545023635417,17.845655861501776,17.948906981827093,8.417596600083472,4.11485118469662,5.687491045592047,10.664032658389692,11.868920121119947,20.080818485428114,11.425412306272653,7.9176628468780015,3.2588066600510532,-1.3779187098446877,-1.115346022709425,-0.8248762789110766,-0.592294727500413,-0.41915191553472164,-0.2939368563932983,-0.20482957951095088,-0.1420908039716754,-0.09824759976562138,-0.06777391013058087,MtC/yr,
"NZ_CCS_1.0,date=2025-17-4T21:24:28+18:00",Central Asia,All LandLeaf,31.98745079075473,22.94893916387614,14.853604747335476,9.022062942944897,-2.487610164416593,-8.842128256085799,89.93174766910735,-10.670924287095875,-30.31345856936279,-15.175731632780769,-8.73538759463691,-1.2820426900496242,-2.5804294452347336,-1.532815640932254,-3.0880035707161206,-2.4413473285638307,-1.760582086200376,-1.3288755904614364,-1.0133394331993055,-0.7710204175236773,-0.5839036086334112,-0.44025215289361347,-0.3307458230184891,-0.24777276353077438,-0.18520289802037967,MtC/yr,
